Symbol  ,Date    ,Time  ,Open  ,High    ,Low   ,Closed,,,,,
NIFTY_F1,20150907,10:49,7661.3,7663.15,7659.95,7663.15,12750,23533024,,,
NIFTY_F1,20150907,10:50,7662,7662.25,7650.1,7650.1,27050,23535000,,,
NIFTY_F1,20150907,10:51,7650.1,7655.7,7647,7655.7,40100,23535000,,,
NIFTY_F1,20150907,10:52,7655.15,7659.15,7652,7652,12675,23535000,,,
NIFTY_F1,20150907,10:53,7652,7659.85,7651.4,7655.35,15750,23529600,,,
NIFTY_F1,20150907,10:54,7656.05,7658.6,7653.8,7653.9,9275,23529600,,,
NIFTY_F1,20150907,10:55,7653.8,7658.55,7651.25,7657.85,14700,23529600,,,
NIFTY_F1,20150907,10:56,7657.9,7659.9,7655.5,7657.8,11875,23510150,,,
NIFTY_F1,20150907,10:57,7657,7659.95,7656.35,7657.95,13700,23510150,,,
NIFTY_F1,20150907,10:58,7657.55,7663,7656.2,7662.55,33075,23510150,,,
NIFTY_F1,20150907,10:59,7662.55,7666.45,7660,7660.3,17900,23536276,,,
NIFTY_F1,20150907,11:00,7660.05,7662,7659.55,7660,14875,23536276,,,
NIFTY_F1,20150907,11:01,7660.35,7664,7659.9,7664,10275,23536276,,,
NIFTY_F1,20150907,11:02,7663.05,7665.65,7660,7661,9800,23544250,,,
NIFTY_F1,20150907,11:03,7660.45,7664.2,7658.65,7662.85,11875,23544250,,,
NIFTY_F1,20150907,11:04,7661.4,7663.85,7660.95,7662,5525,23544250,,,
NIFTY_F1,20150907,11:05,7662.05,7662.85,7658.65,7660.6,4550,23546776,,,
NIFTY_F1,20150907,11:06,7660.8,7665,7660.7,7663.15,8750,23546776,,,
NIFTY_F1,20150907,11:07,7663.2,7664.9,7662,7664,7400,23546776,,,
NIFTY_F1,20150907,11:08,7664,7664.4,7662,7664,8650,23540800,,,
NIFTY_F1,20150907,11:09,7664,7669.4,7664,7667,17225,23540800,,,
NIFTY_F1,20150907,11:10,7667,7667.45,7665.05,7666.85,10075,23540800,,,
NIFTY_F1,20150907,11:11,7666.85,7666.85,7663.5,7664,11750,23547324,,,
NIFTY_F1,20150907,11:12,7663.95,7668.95,7663.35,7666.75,22100,23547324,,,
NIFTY_F1,20150907,11:13,7666.75,7668.9,7663.15,7665.45,18900,23547324,,,
NIFTY_F1,20150907,11:14,7664.5,7667.7,7663.25,7664.8,25350,23563524,,,
NIFTY_F1,20150907,11:15,7664.8,7668,7662.65,7662.65,18025,23563524,,,
NIFTY_F1,20150907,11:16,7663,7665.1,7662.1,7665,10075,23563524,,,
NIFTY_F1,20150907,11:17,7667.2,7669.85,7665.55,7669,16725,23551050,,,
NIFTY_F1,20150907,11:18,7670,7670,7656.55,7657.8,25700,23551050,,,
NIFTY_F1,20150907,11:19,7657.85,7659.45,7655.5,7657,21300,23551050,,,
